seed,class_name,alpha,rho,method,ranking,budget,residual_region_fnr,lam
0,person,0.05,0.5,region_crc,oracle,0.2,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.25,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.3,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.35,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.4,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.45,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.5,0.0,1.0
0,person,0.1,0.5,region_crc,area,0.0,0.06205736880078985,0.996
0,person,0.1,0.5,region_crc,area,0.05,0.05913339219260271,0.996
0,person,0.1,0.5,region_crc,area,0.1,0.05602666704640388,0.996
0,person,0.1,0.5,region_crc,area,0.15,0.05493017581833371,0.996
0,person,0.1,0.5,region_crc,area,0.2,0.05080172020961494,0.996
0,person,0.1,0.5,region_crc,area,0.25,0.0492666324903167,0.996
0,person,0.1,0.5,region_crc,area,0.3,0.04689090149616465,0.996
0,person,0.1,0.5,region_crc,area,0.35,0.04542891319207109,0.996
0,person,0.1,0.5,region_crc,area,0.4,0.043711076934761145,0.996
0,person,0.1,0.5,region_crc,area,0.45,0.039384920634920634,0.996
0,person,0.1,0.5,region_crc,area,0.5,0.03631474519632414,0.996
0,person,0.1,0.5,region_crc,random,0.0,0.06205736880078985,0.996
0,person,0.1,0.5,region_crc,random,0.05,0.06205736880078985,0.996
0,person,0.1,0.5,region_crc,random,0.1,0.05787408863066757,0.996
0,person,0.1,0.5,region_crc,random,0.15,0.05628916040100251,0.996
0,person,0.1,0.5,region_crc,random,0.2,0.05409617794486215,0.996
0,person,0.1,0.5,region_crc,random,0.25,0.051903195488721805,0.996
0,person,0.1,0.5,region_crc,random,0.3,0.04897921888053467,0.996
0,person,0.1,0.5,region_crc,random,0.35,0.0473344820384294,0.996
0,person,0.1,0.5,region_crc,random,0.4,0.042598684210526316,0.996
0,person,0.1,0.5,region_crc,random,0.45,0.04205043859649122,0.996
0,person,0.1,0.5,region_crc,random,0.5,0.03729897660818713,0.996
0,person,0.1,0.5,region_crc,oracle,0.0,0.06205736880078985,0.996
0,person,0.1,0.5,region_crc,oracle,0.05,0.022218187514240144,0.996
0,person,0.1,0.5,region_crc,oracle,0.1,0.004332089693931799,0.996
0,person,0.1,0.5,region_crc,oracle,0.15,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.2,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.25,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.3,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.35,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.4,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.45,0.0,0.996
0,person,0.1,0.5,region_crc,oracle,0.5,0.0,0.996
0,person,0.2,0.5,region_crc,area,0.0,0.14945620899568268,0.972
0,person,0.2,0.5,region_crc,area,0.05,0.14673713226344806,0.972
0,person,0.2,0.5,region_crc,area,0.1,0.14011021872863977,0.972
0,person,0.2,0.5,region_crc,area,0.15,0.13260091516670464,0.972
0,person,0.2,0.5,region_crc,area,0.2,0.12971348826611984,0.972
0,person,0.2,0.5,region_crc,area,0.25,0.12371933621933623,0.972
0,person,0.2,0.5,region_crc,area,0.3,0.11964404382167539,0.972
0,person,0.2,0.5,region_crc,area,0.35,0.11119322928533455,0.972
0,person,0.2,0.5,region_crc,area,0.4,0.10607627022100706,0.972
0,person,0.2,0.5,region_crc,area,0.45,0.10027151211361737,0.972
0,person,0.2,0.5,region_crc,area,0.5,0.0922827903091061,0.972
0,person,0.2,0.5,region_crc,random,0.0,0.14945620899568268,0.972
0,person,0.2,0.5,region_crc,random,0.05,0.14616673531147215,0.972
0,person,0.2,0.5,region_crc,random,0.1,0.13350392297760721,0.972
0,person,0.2,0.5,region_crc,random,0.15,0.12530254832886412,0.972
0,person,0.2,0.5,region_crc,random,0.2,0.11740781148675884,0.972
0,person,0.2,0.5,region_crc,random,0.25,0.11294874715927347,0.972
