fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.999,999,True,0.029742953578737893,0.029742953578737893,0.06277681142091751,,204,,,False,,,,,,1,person,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.999,999,True,0.09306013431013431,0.09306013431013431,0.020833153277635574,,120,,,False,,,,,,1,rider,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.999,999,True,0.04660800959502258,0.04660800959502258,0.03379125893115997,,154,,,False,,,,,,1,bicycle,0.1,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.993,993,True,0.2693867420841105,0.2693867420841105,,,222,,,False,,,,,,1,max_over_classes,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.993,993,True,0.10793625241574158,0.10793625241574158,0.03966852277517319,,204,,,False,,,,,,1,person,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.993,993,True,0.27529227716727717,0.27529227716727717,0.010466615669429302,,120,,,False,,,,,,1,rider,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.993,993,True,0.14287609936960585,0.14287609936960585,0.019620485603809357,,154,,,False,,,,,,1,bicycle,0.2,0.1,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,,,222,,,False,,,,,,1,max_over_classes,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,204,,,False,,,,,,1,person,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,120,,,False,,,,,,1,rider,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,154,,,False,,,,,,1,bicycle,0.05,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,,,222,,,False,,,,,,1,max_over_classes,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,204,,,False,,,,,,1,person,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,120,,,False,,,,,,1,rider,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,1.0,1000,True,0.0,0.0,1.0,,154,,,False,,,,,,1,bicycle,0.1,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.998,998,True,0.20844434155837666,0.20844434155837666,,,222,,,False,,,,,,1,max_over_classes,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.998,998,True,0.08836599197538308,0.08836599197538308,0.05347840115427971,,204,,,False,,,,,,1,person,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.998,998,True,0.17988553113553113,0.17988553113553113,0.016427649185061455,,120,,,False,,,,,,1,rider,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.998,998,True,0.1149129550103576,0.1149129550103576,0.027830706909298897,,154,,,False,,,,,,1,bicycle,0.2,0.5,shared_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,228
,,,0.998,998,True,0.036582048034165114,0.03658204803416511,0.05724122002720833,0.172,207,1445.0,0.09999999999999998,False,0.04987531172069826,0.006036217303822937,0.0,,,2,person,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
,,,0.989,989,True,0.11947449107153571,0.11947449107153568,0.039097510278224945,0.172,207,1445.0,0.10400000000000004,False,0.1259351620947631,0.022132796780684104,0.0,,,2,person,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
,,,0.968,968,True,0.2047919399546282,0.20479193995462824,0.030586227774620056,8.06,207,1445.0,0.10400000000000004,False,0.24937655860349128,0.0482897384305835,0.0,,,2,person,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,195
