fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.994,994,True,0.04517673609031513,0.0822301778610389,0.027519766241312027,0.172,207,1445,0.09199999999999997,False,0.10224438902743142,0.01609657947686117,0.0,,,2,person,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,0.921,921,True,0.12029279596247675,0.20996100047321986,0.01843675598502159,8.512,207,1445,0.08399999999999996,False,0.2830423940149626,0.04627766599597585,0.0,,,2,person,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,0.518,518,True,0.18654838280642977,0.36569566278982085,0.01367458701133728,2.596,207,1445,0.09200000000000003,False,0.5847880299251871,0.0925553319919517,0.00684931506849315,,,2,person,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,0.999,999,True,0.05316624633382212,0.07525763930637473,0.038044195622205734,0.172,207,1445,0.10800000000000004,False,0.07605985037406483,0.02012072434607646,0.0,,,2,person,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,0.986,986,True,0.11023685603243864,0.18060361633390007,0.023921987041831017,13.776,207,1445,0.09199999999999997,False,0.2256857855361596,0.0482897384305835,0.0,,,2,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,0.802,802,True,0.1948006904851658,0.3553448423481029,0.016097137704491615,4.7,207,1445,0.08399999999999996,False,0.527431421446384,0.11670020120724346,0.00684931506849315,,,2,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,195
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387,0.0,False,0.0,0.0,0.0,,,2,rider,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
,,,0.999,999,True,0.09794185402730071,0.1340606899662018,0.008433151058852673,0.492,127,387,0.068,False,0.19196428571428573,0.045112781954887216,0.0,,,2,rider,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
,,,0.993,993,True,0.17242712156331222,0.2118375063256953,0.005447910167276859,0.492,127,387,0.055999999999999994,False,0.28125,0.10526315789473684,0.0,,,2,rider,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387,0.0,False,0.0,0.0,0.0,,,2,rider,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
,,,1.0,1000,True,0.0,0.0,1.0,0.492,127,387,0.0,False,0.0,0.0,0.0,,,2,rider,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
,,,0.998,998,True,0.16004263689973447,0.19517083965902865,0.00715388311073184,0.492,127,387,0.064,False,0.2544642857142857,0.09774436090225563,0.0,,,2,rider,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,126
