lam,feasible,region_fnr,marked_area_fraction,n_test_images,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
0.999,True,0.065619532280394,0.05465685576200485,204,0.06000000000000005,False,0.08548168249660787,0.023109243697478993,0.0,1,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.999,True,0.065619532280394,0.05465685576200485,204,0.06000000000000005,False,0.08548168249660787,0.023109243697478993,0.0,1,person,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.999,True,0.065619532280394,0.05465685576200485,204,0.06000000000000005,False,0.08548168249660787,0.023109243697478993,0.0,1,person,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.6285500747384155,0.012605478055775166,250,,False,,,,1,person,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
0.997,True,0.13243426257551644,0.04319652542471886,204,0.07200000000000006,False,0.13975576662143827,0.03991596638655462,0.0,1,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.995,True,0.17284969974985456,0.03866644948720932,204,0.07600000000000007,False,0.17774762550881953,0.04831932773109244,0.0,1,person,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.997,True,0.13243426257551644,0.04319652542471886,204,0.07200000000000006,False,0.13975576662143827,0.03991596638655462,0.0,1,person,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.6285500747384155,0.012605478055775166,250,,False,,,,1,person,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
0.986,True,0.25415176852669263,0.030840978026390076,204,0.06399999999999995,False,0.2781546811397558,0.08823529411764706,0.0,1,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.973,True,0.31521811722135734,0.026589304208755493,204,0.06,False,0.3677069199457259,0.11764705882352941,0.0,1,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.986,True,0.25415176852669263,0.030840978026390076,204,0.06399999999999995,False,0.2781546811397558,0.08823529411764706,0.0,1,person,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.6285500747384155,0.012605478055775166,250,,False,,,,1,person,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7142857142857143,0.0018381003756076097,250,,False,,,,1,rider,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
0.999,True,0.11563949938949938,0.017046937718987465,120,0.08399999999999996,False,0.20418848167539266,0.02830188679245283,0.0,1,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7142857142857143,0.0018381003756076097,250,,False,,,,1,rider,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
0.997,True,0.2075776307026307,0.012146852910518646,120,0.07999999999999996,False,0.3298429319371728,0.07547169811320754,0.0,1,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
0.998,True,0.16702838827838828,0.0137722073122859,120,0.08400000000000007,False,0.27225130890052357,0.04716981132075472,0.0,1,rider,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
0.996,True,0.24472048784548786,0.011104492470622063,120,0.08400000000000007,False,0.38219895287958117,0.09433962264150944,0.0,1,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7142857142857143,0.0018381003756076097,250,,False,,,,1,rider,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7857142857142857,0.0018381003756076097,250,,False,,,,1,rider,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,120,0.0,False,0.0,0.0,0.0,1,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7857142857142857,0.0018381003756076097,250,,False,,,,1,rider,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
0.998,True,0.24115897990897986,0.0137722073122859,120,0.08400000000000007,False,0.3298429319371728,0.11320754716981132,0.07692307692307693,1,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,133
0.998,True,0.24115897990897986,0.0137722073122859,120,0.08400000000000007,False,0.3298429319371728,0.11320754716981132,0.07692307692307693,1,rider,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,133
0.998,True,0.24115897990897986,0.0137722073122859,120,0.08400000000000007,False,0.3298429319371728,0.11320754716981132,0.07692307692307693,1,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,133
,True,0.7857142857142857,0.0018381003756076097,250,,False,,,,1,rider,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.5518987341772152,0.006105249281972647,250,,False,,,,1,bicycle,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
0.998,True,0.10597704964588081,0.02405952289700508,154,0.08400000000000002,False,0.18226600985221675,0.022508038585209004,0.0,1,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.998,True,0.10597704964588081,0.02405952289700508,154,0.08400000000000002,False,0.18226600985221675,0.022508038585209004,0.0,1,bicycle,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.997,True,0.11613435266032669,0.021713025867938995,154,0.09200000000000003,False,0.2044334975369458,0.028938906752411574,0.0,1,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.5518987341772152,0.006105249281972647,250,,False,,,,1,bicycle,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
0.986,True,0.22901562722991295,0.014921043068170547,154,0.10400000000000004,False,0.3817733990147783,0.05787781350482315,0.0,1,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.988,True,0.22110488717631577,0.015476728789508343,154,0.10399999999999998,False,0.35714285714285715,0.05787781350482315,0.0,1,bicycle,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.985,True,0.2297371279514137,0.014682971872389317,154,0.10000000000000003,False,0.3842364532019704,0.05787781350482315,0.0,1,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.5518987341772152,0.006105249281972647,250,,False,,,,1,bicycle,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,True,0.0,1.0,154,0.0,False,0.0,0.0,0.0,1,bicycle,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,191
,True,0.6455696202531646,0.006105249281972647,250,,False,,,,1,bicycle,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,191
0.999,True,0.12282924506950481,0.028668822720646858,154,0.08399999999999996,False,0.1896551724137931,0.03536977491961415,0.0,1,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.998,True,0.1612670338319689,0.02405952289700508,154,0.08400000000000002,False,0.2438423645320197,0.04823151125401929,0.0,1,bicycle,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,191
