condition,class_name,seed,pool,n_cal,n_pool,n_target_total,c_low,kappa,ratio,alpha,rho,raw_median,raw_max,weight_p_test,lam,feasible,region_fnr,marked_area_fraction,weight_sum,weight_ess,frac_at_floor,weight_median,weight_max
fog,person,4,all,199,500,500,0.05,2.0,40.0,0.2,0.5,2.854505328286905e-05,0.001708689029328525,0.16736397933807196,0.9997035168610475,True,0.0898550724637681,0.027306629344820976,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,5.0,100.0,0.05,0.5,2.854505328286905e-05,0.001708689029328525,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,5.0,100.0,0.1,0.5,2.854505328286905e-05,0.001708689029328525,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,5.0,100.0,0.2,0.5,2.854505328286905e-05,0.001708689029328525,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,20.0,400.0,0.05,0.5,2.854505328286905e-05,0.001708689029328525,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,20.0,400.0,0.1,0.5,2.854505328286905e-05,0.001708689029328525,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,20.0,400.0,0.2,0.5,2.854505328286905e-05,0.001708689029328525,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,2.0,40.0,0.05,0.5,0.000258421350736171,0.008111810311675072,0.16736397933807196,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,2.0,40.0,0.1,0.5,0.000258421350736171,0.008111810311675072,0.16736397933807196,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,2.0,40.0,0.2,0.5,0.000258421350736171,0.008111810311675072,0.16736397933807196,0.9997035168610475,True,0.0898550724637681,0.027306629344820976,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,5.0,100.0,0.05,0.5,0.000258421350736171,0.008111810311675072,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,5.0,100.0,0.1,0.5,0.000258421350736171,0.008111810311675072,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,5.0,100.0,0.2,0.5,0.000258421350736171,0.008111810311675072,0.33444810079780746,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,20.0,400.0,0.05,0.5,0.000258421350736171,0.008111810311675072,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,20.0,400.0,0.1,0.5,0.000258421350736171,0.008111810311675072,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,class,199,115,500,0.05,20.0,400.0,0.2,0.5,0.000258421350736171,0.008111810311675072,0.6677795731831774,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,2.0,40.0,0.05,0.5,2.378618228249252e-05,0.0020549583714455366,0.1659750879715009,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,2.0,40.0,0.1,0.5,2.378618228249252e-05,0.0020549583714455366,0.1659750879715009,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,2.0,40.0,0.2,0.5,2.378618228249252e-05,0.0020549583714455366,0.1659750879715009,0.9996145216423342,True,0.1072463768115942,0.02454913593828678,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,5.0,100.0,0.05,0.5,2.378618228249252e-05,0.0020549583714455366,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,5.0,100.0,0.1,0.5,2.378618228249252e-05,0.0020549583714455366,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,5.0,100.0,0.2,0.5,2.378618228249252e-05,0.0020549583714455366,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,20.0,400.0,0.05,0.5,2.378618228249252e-05,0.0020549583714455366,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,20.0,400.0,0.1,0.5,2.378618228249252e-05,0.0020549583714455366,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,all,201,500,500,0.05,20.0,400.0,0.2,0.5,2.378618228249252e-05,0.0020549583714455366,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,2.0,40.0,0.05,0.5,0.00020197784760966897,0.010059976950287819,0.1659750879715009,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,2.0,40.0,0.1,0.5,0.00020197784760966897,0.010059976950287819,0.1659750879715009,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,2.0,40.0,0.2,0.5,0.00020197784760966897,0.010059976950287819,0.1659750879715009,0.9996145216423342,True,0.1072463768115942,0.02454913593828678,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,5.0,100.0,0.05,0.5,0.00020197784760966897,0.010059976950287819,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,5.0,100.0,0.1,0.5,0.00020197784760966897,0.010059976950287819,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,5.0,100.0,0.2,0.5,0.00020197784760966897,0.010059976950287819,0.3322258883586474,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,20.0,400.0,0.05,0.5,0.00020197784760966897,0.010059976950287819,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,20.0,400.0,0.1,0.5,0.00020197784760966897,0.010059976950287819,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
fog,person,5,class,201,115,500,0.05,20.0,400.0,0.2,0.5,0.00020197784760966897,0.010059976950287819,0.6655573789793686,1.0,False,0.0,1.0,10.05000114440918,201.00004673004435,1.0,0.05000000074505806,0.05000000074505806
