setting,label,experiment,model,scheme,class_name,n_cells,n_test_images_full,alpha,rho,n_permutations,budget,no_review_rate,residual_area,area_rel,q05_rel,q50_rel,q95_rel,closed_form_rel,single_random_rel,below_band
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.0,0.028846153846153848,0.028846153846153848,1.0,1.0,1.0,1.0,1.0,0.9999999999999983,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.05,0.028846153846153848,0.028846153846153848,1.0,0.8095238095238095,1.0,1.0,0.95,0.9999999999999983,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.1,0.028846153846153848,0.028846153846153848,1.0,0.6666666666666666,0.9047619047619048,1.0,0.9,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.15,0.028846153846153848,0.028846153846153848,1.0,0.5873015873015872,0.8571428571428571,1.0,0.85,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.2,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.5238095238095238,0.8095238095238095,1.0,0.8,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.25,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.4603174603174603,0.7936507936507936,1.0,0.75,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.3,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.380952380952381,0.7142857142857141,1.0,0.7,0.8095238095238076,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.35,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.3333333333333333,0.6666666666666666,0.9365079365079364,0.65,0.7142857142857141,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.4,0.028846153846153848,0.023351648351648352,0.8095238095238095,0.25396825396825395,0.619047619047619,0.9047619047619048,0.6,0.7142857142857141,False
region_16PDC,Held-out 16PDC,x3_triage__region_16PDC__marida_unet_holdout_region_16PDC,marida_unet_holdout_region_16PDC,marida_holdout_region_16PDC,all_classes,1,182,0.2,0.5,1000,0.45,0.028846153846153848,0.020604395604395604,0.7142857142857142,0.1904761904761905,0.5555555555555555,0.8730158730158729,0.55,0.46031746031745757,False
